,dhlabid,title,authors,city,year,publisher,langs,subjects,ddc,ocr_creator,urn
0,100628008.0,Sange og Digte af forskjellige Slags : mest fra gamle Dage,"Landstad , M. B.",Christiania,1879.0,Dybwad,nob,sanger / norsk / åndelige / dikt,,dhlab,URN:NBN:no-nb_digibok_2006081700063
1,100628009.0,Om Husfliden i Norge : til Arbeidets Ære og Arbeidsomhedens Pris,"Sundt , Eilert",,1867.0,,nob,Norge / folkekunst / kunsthåndverk / Husflid / husflid / økonomi / selvberging / sosiologi / Husflid,,dhlab,URN:NBN:no-nb_digibok_2006082100022
2,100614100.0,"Norsk Navnebog, eller Samling af Mandsnavne og Kvindenavne","Aasen , Ivar",Kristiania,1878.0,Malling,nob,Norsk språk / Fornavn / personnavn / personnamn / norsk / språk,,dhlab,URN:NBN:no-nb_digibok_2006082200033
3,100628017.0,Samlede Afhandlinger,"Keyser , R.",,1868.0,Malling,nob,Religion / Norrøn religion / Norrøn mytologi / norrøn / mytologi / norge / historie / middelalderen / medievaliaub,,dhlab,URN:NBN:no-nb_digibok_2006082800104
4,100614519.0,Norsk Grammatik,"Aasen , Ivar",Kristiania,1864.0,Malling,nob,Nynorsk språk / Grammatikk / Norsk språk / norsk / språk / grammatikk,,dhlab,URN:NBN:no-nb_digibok_2006112000041
5,100628097.0,Om Sædeligheds-Tilstanden i Norge. [1],"Sundt , Eilert / Abelsted , Jacob Christian",,1857.0,Trykt og forlagt af J. Chr. Abelsted,nor,Sedelighet / Seksualmoral / Seksualhygiene / 1800-tallet / Seksualetikk / Sedelighet / seksualitet / norge / sedelighet / 1800-tallet,,dhlab,URN:NBN:no-nb_digibok_2006112200010
6,100614702.0,Af H. Meltzers efterladte Papirer. 2 : En Rotour tilhavs ; Fra Krigens Tid ; Fantegutten,"Meltzer , H.",Christiania,1873.0,Dybwad,nob,skjønnlitteratur / hfnord,,dhlab,URN:NBN:no-nb_digibok_2006112201000
7,100614799.0,Segner fraa Vaagaa,"Kleiven , Ivar",Kristiania,1894.0,Samlaget,nno,sagn / folkediktning / vågå / norge,439.8279482516,dhlab,URN:NBN:no-nb_digibok_2006112301030
8,100569912.0,Reise-Erindringer og Reise-Indberetninger 1842-1847,"Aasen , Ivar / Koht , Halvdan",Trondhjem,1917.0,[s.n.],nob,Norsk språk / Dialekter / Reiser / Norge / Norsk språk / Historisk framstilling / Forskning / Nynorsk språk / Reiseskildringer / norge / forskningshistorie / norsk / språk / reiseskildringer / 1800 / tallet / nynorsk,,nb,URN:NBN:no-nb_digibok_2006120501037
9,100628159.0,Sorg og Trøst : nogle Digte,"Munch , A.",Christiania,1852.0,Feilberg & Landmark,nob,,,dhlab,URN:NBN:no-nb_digibok_2007061502002
10,100614909.0,"Søndmørsk Grammatik, eller kortfattet Underretning om Bygdemaalet paa Søndmør","Aasen , Ivar",,1851.0,Aarflot,mul / nob / nno,norsk / nynorsk / språk / grammatikk / sunnmøre / dialektar / målføre,,dhlab,URN:NBN:no-nb_digibok_2007071903001
11,100628177.0,Nye Digte,"Munch , A. ( Andreas ) / Tønsberg , Chr . / Wergeland , S. N. ( Sverre Nicolai )",,1850.0,Forlagt af Chr. Tønsberg,dan,Norsk litteratur / agderforfattere,,dhlab,URN:NBN:no-nb_digibok_2007072402001
12,100628222.0,Digtninger : Anden Deel,"Hansen , Maurits / Høeg , T. A. ( Tønnes Andreas )",,1825.0,Trykt af T. A. Høeg,dan,Norsk litteratur / 1800-tallet,,dhlab,URN:NBN:no-nb_digibok_2007082703001
13,100628227.0,Norske Bondeblomster : poetiske Forsøg,"Vig , Ole",Kristiansund,1851.0,J. Hansen og O. Vig,nob,,,dhlab,URN:NBN:no-nb_digibok_2007082903001
14,100628238.0,Dramatiske Digtninger : Kong Gorm ; Huldrens Hjem ; Olaf i Venden,"Jensen , P. A. ( Peter Andreas )",,1852.0,Johan Dahls Forlag,nob,Norsk litteratur,,dhlab,URN:NBN:no-nb_digibok_2007091202001
15,100615020.0,Henrik Wergelands Samlede Skrifter. B. 7,"Wergeland , Henrik",Christiania,1853.0,Chr. Tønsbergs Forl.,nob,,,dhlab,URN:NBN:no-nb_digibok_2007091703001
16,100615035.0,Norske bygdesagn,"Daae , Ludvig",Christiania,1870.0,Cappelen,nob,,,dhlab,URN:NBN:no-nb_digibok_2007101510009
17,100500833.0,Sunnmørsgrammatikkane av Ivar Aasen,"Aasen , Ivar / Nes , Oddvar / Aarset , Terje / Aasen , Ivar",,1992.0,Selskapet,nno,Norsk språk / Sunnmørsmål / Grammatikk / Dialekter / norsk / språk / sunnmørsgrammatikk / dialekter / møre / romsdal / sunnmøre / nynorsk / sunnmørsdialekt / grammatikk / dialektar,439.82739 / 439.827948391,nb,URN:NBN:no-nb_digibok_2007110600049
18,100628331.0,Erindringer som Bidrag til Norges Historie fra 1800 til 1815,"Aall , Jacob / Lange , Christian C. A.",,1859.0,Cappelen,nob,1800 - 1815 / historie / norge / Historie / politikk / jernverk / norge / historie / 1792-1814 / biografi / norgeshistorie,948.1024,dhlab,URN:NBN:no-nb_digibok_2008011112004
19,100481031.0,Skrifter i samling : trykt og utrykt. 3,"Aasen , Ivar",Kristiania,1912.0,"Gyldendalske Boghandel, Nordisk Forlag",nno,norsk / nynorsk / litteratur / språk,,nb,URN:NBN:no-nb_digibok_2008040800072
20,100628520.0,Antydninger til et forbedret Psalmeverk for den norske Kirke,"Welhaven , J. S. ( Johan Sebastian ) / Dahl , Johan",,1840.0,Johan Dahl,dan,Kristendom / salmer / salmebøker,,dhlab,URN:NBN:no-nb_digibok_2008061012003
21,100628521.0,En Digtsamling,"Welhaven , J. S.",Christiania,1860.0,Johan Dahl,nob,,,dhlab,URN:NBN:no-nb_digibok_2008061012004
22,100628522.0,Digte,"Welhaven , J. S. ( Johan Sebastian ) / Dahl , Johan",,1839.0,i Commission hos Johan Dahl,dan,Norsk litteratur / 1800-tallet,,dhlab,URN:NBN:no-nb_digibok_2008061112002
23,100615799.0,Reisebilleder og Digte,"Welhaven , J. S.",Christiania,1851.0,Chr. Tønsbergs Forlag,nob,,,dhlab,URN:NBN:no-nb_digibok_2008062012003
24,100615808.0,Norges Dæmring : Et polemisk Digt,"Welhaven , J. S. ( Johan Sebastian ) / Dahl , Johan / Grøndahl , Chr . ( Christopher )",,1834.0,Trykt hos Chr. Grøndahl,dan,Norsk litteratur / 1800-tallet,,dhlab,URN:NBN:no-nb_digibok_2008062312002
25,100615818.0,Om Ludvig Holberg,"Welhaven , J. S. ( Johan Sebastian )",,1854.0,Tønsbergs forlag,nob,Norsk litteratur,,dhlab,URN:NBN:no-nb_digibok_2008063012005
26,100615824.0,Snorre Sturlesons norske Kongers Sagaer : Første Bind,"Snorri Sturluson / Aall , Jacob / Malling , P. T. ( Peter Tidemand ) / Karl",,1838.0,Trykt i Guldberg & Dzwonkowskis Officin af P. T. Malling,dan / non,Norrøn litteratur / Sagaer / Konger / Vikingtiden / norrøn / litteratur / sagaer / kongesagaer,,dhlab,URN:NBN:no-nb_digibok_2008070202001
27,100615836.0,Halte-Hulda : Drama i 3 Akter,"Bjørnson , Bjørnstjerne",Bergen,1858.0,Geelmuydens Enke,nob,,,dhlab,URN:NBN:no-nb_digibok_2008070812002
28,100615837.0,Mellem Slagene : Drama i 1 Akt,"Bjørnson , Bjørnstjerne / Dybwad , Jacob",,1858.0,I Commission hos Jac. Dybwad,nob,Norsk litteratur / 1800-tallet,,dhlab,URN:NBN:no-nb_digibok_2008070812004
29,100628587.0,Sigurd Slembe,"Bjørnson , Bjørnstjerne",Kjøbenhavn,1862.0,Gyldendal,nob,,,dhlab,URN:NBN:no-nb_digibok_2008071512001
30,100616087.0,Ordbog over det gamle norske Sprog,"Fritzner , Johan",Kristiania,1867.0,Feilberg & Landmark,mul / nob / nno,gammelnorsk / norrønt / språk / ordbøker / norrøn / ordbok,,dhlab,URN:NBN:no-nb_digibok_2008093012001
31,100628868.0,Fornuftigt Madstel : en tidsmæssig Koge- og Husholdningsbog,"Asbjørnsen , P. Chr . ( Peter Christen )",Christiania,1865.0,Steensballe,nob,,,dhlab,URN:NBN:no-nb_digibok_2008102112004
32,100616207.0,Norske Folke-Eventyr,"Asbjørnsen , P. Chr . ( Peter Christen ) / Moe , Jørgen",Kjøbenhavn,1876.0,Gyldendal,nob,norge / eventyr / folkeeventyr,,dhlab,URN:NBN:no-nb_digibok_2008102912003
33,100616211.0,Norske Folkeeventyr,"Asbjørnsen , P. Chr . ( Peter Christen ) / Moe , Jørgen",Christiania,1852.0,Johan Dahl,nob,,,dhlab,URN:NBN:no-nb_digibok_2008103012001
34,100616236.0,Fra Skov og Fjeld,"Østgaard , N. R.",Christiania,1858.0,Tønsbergs Forl.,nob,,,dhlab,URN:NBN:no-nb_digibok_2008110503010
35,100628955.0,Chr. Monsens Samlede Digte,"Monsen , Chr . / Hanssen , Christian",,1854.0,Chr. Monsens Enke,nor,,,dhlab,URN:NBN:no-nb_digibok_2008111003003
36,100628959.0,Christiania-Postens Feuilleton. 1,"Legouvé , Ernest / Frölich , Abraham Emanuel / Gotthelf , Jeremias / Gotthelf , Jeremias / Gotthelf , Jeremias / Welhaven , J. S. ( Johan Sebastian )",Christiania,1856.0,Dybwad,nob,,,dhlab,URN:NBN:no-nb_digibok_2008111103001
37,100629026.0,Ordbog over det norske Folkesprog,"Aasen , Ivar",,1850.0,Trykt hos Carl C. Werner & Comp.,mul / nno / dan,Norsk språk / Nynorsk språk / Norsk språk / nynorsk / landsmål / nynorske / ordbøker / 1800-tallet / nynorsk / språk / form / norsk,,dhlab,URN:NBN:no-nb_digibok_2008111903007
38,100629032.0,Sange og Rim for det norske Folk,"Vig , Ole",Kristiania,1854.0,Malling,nob,,,dhlab,URN:NBN:no-nb_digibok_2008111903017
39,100616340.0,Gamle norske folkeviser,"Bugge , Sophus",Kristiania,1858.0,Feilberg & Landmark,nob,norske / folkeviser / viser / norge,,dhlab,URN:NBN:no-nb_digibok_2008111903026
40,100616342.0,En liden Læsebog i Gammel Norsk,"Aasen , Ivar",Christiania,1854.0,Chr. Grøndahl,mul / nob / non,norsk / gammelnorsk / språk / lesebøker,,dhlab,URN:NBN:no-nb_digibok_2008111903029
41,100616400.0,Neslands kirke : et digt,"Landstad , M. B.",,1852.0,Chr. Olsen,nob,kirker / norge / Nesland kirke / Vinje / Telemark / vinje / kirkehistorie / telemark / dikt / stavkirker / norsk / litteratur,839.82,dhlab,URN:NBN:no-nb_digibok_2008112703011
42,100616628.0,Ephemerer,"Munch , A. ( Andreas ) / Dahl , Johan ( Johan Fjeldsted ) / Schmelling , E. A.",,1836.0,Johan Dahl. Trykt i Johan Dahls Bogtrykkerie af E. A. Schmelling,dan,Norsk litteratur / 1800-tallet,,dhlab,URN:NBN:no-nb_digibok_2009011512001
43,100629314.0,Omrids af den norske Poesis Historie : literærhistoriske Forelæsninger. 1 : Norges Bidrag til Fællesliteraturen,"Dietrichson , L. ( Lorentz )",Kjøbenhavn,1866.0,Gyldendal,dan,norsk / litteraturhistorie / lyrikk,,dhlab,URN:NBN:no-nb_digibok_2009061903027
44,100629321.0,Norske sagn,"Faye , Andreas / Hald , N. C. ( Nils Christian ) / Krohn , Lars Andreas",,1833.0,Trykt i N.C. Halds Bogtrykkerie af L.A. Krohn,dan,Folkeminne / sagn / folkesagn,,dhlab,URN:NBN:no-nb_digibok_2009061912006
45,100629328.0,Norske Ordsprog,"Aasen , Ivar / Aasen , Ivar",Christiania,1856.0,Werner,nno,norsk / nynorsk / språk / norske / ordtak / ordtøke / ordspråk,,dhlab,URN:NBN:no-nb_digibok_2009062212003
46,100618628.0,Gamle Dage : Erindringer og Tidsbilleder,"Dunker , Conradine B.",Kjøbenhavn,1871.0,Gyldendal,mul / dan / nob,,,dhlab,URN:NBN:no-nb_digibok_2009072900042
47,100618696.0,Smaabilleder af Folkelivet. [1],"Meltzer , H.",Christiania,1862.0,Dybwad,nob,,,dhlab,URN:NBN:no-nb_digibok_2009081303002
48,100629576.0,Norske Plantenavne,"Aasen , Ivar",,1860.0,[s.n.],nob,Plantenavn / plantenavn / plantenamn / norsk / språk / norge,,dhlab,URN:NBN:no-nb_digibok_2009081903003
49,100629627.0,Skitser og Fortællinger,"Schulze , H.",Christiania,1866.0,,nob,,,dhlab,URN:NBN:no-nb_digibok_2009082103039
50,100629705.0,Om Ædrueligheds-Tilstanden i Norge,"Sundt , Eilert",Christiania,1859.0,Trykt hos J. Chr. Abelsted,nob,Alcoholism / Helsesosiologi / Alkoholisme,,dhlab,URN:NBN:no-nb_digibok_2009090903009
51,100629711.0,"Det norske Folks Historie. Deel 1, Bind 1","Munch , P. A. ( Peter Andreas )",,1852.0,Tønsbergs Forl.,nob,Middelalderen / Historie / forhistorisk / tid / vikingtiden,,dhlab,URN:NBN:no-nb_digibok_2009091403001
52,100629796.0,Samlede Afhandlinger. 1 : 1831-Marts 1849,"Munch , P. A. ( Peter Andreas ) / Storm , Gustav",,1873.0,Cammermeyer,nob,Historie / Norden / Historisk framstilling / Norsk språk / Norrønt språk / Norsk litteratur / norge / historie / noreg / norden / nordisk / norsk / språk / litteratur,948.1 / 439.8209,dhlab,URN:NBN:no-nb_digibok_2009100812001
53,100618946.0,En liden Julegave : Gammelt og Nyt,"Moe , Jørgen",Christiania,1859.0,P.F. Steensballe,nob,,,dhlab,URN:NBN:no-nb_digibok_2009101303010
54,100629837.0,Nordens gamle Gude- og Helte-Sagn i kortfattet Fremstilling,"Munch , P. A. ( Peter Andreas ) / Risum , Ludvig",,1840.0,Trykt i Forlæggernes Officin af L. Risum,dan,Norrøn mytologi / Norrøn litteratur / Norrøn litteratur / Heltesagn / Gudesagn,,dhlab,URN:NBN:no-nb_digibok_2009110512007
55,100629853.0,Symra : tvo Tylfter med nya Visor,"Aasen , Ivar",Kristiania,1863.0,Mallings Forlagsboghandel,nno,norsk / nynorsk / språk / litteratur / skjønnlitteratur / dikt,,dhlab,URN:NBN:no-nb_digibok_2009120812001
56,100629854.0,Minningar fraa Maalstriden um Hausten 1858,"Aasen , Ivar",Christiania,1869.0,Samlaget,nno,norsk / nynorsk / litteratur / språkstrid / målsak,,dhlab,URN:NBN:no-nb_digibok_2009120812002
57,100619087.0,Arnljot Gelline,"Bjørnson , Bjørnstjerne",København,1870.0,Gyldendalske Boghandel,nob,,,dhlab,URN:NBN:no-nb_digibok_2010012110001
58,100619090.0,Sigurd Jorsalfar,"Bjørnson , Bjørnstjerne",Kjøbenhavn,1872.0,Gyldendal,nob,Norsk litteratur / Historisk drama / seminar / seminarsamling / tromsø / seminarium,,dhlab,URN:NBN:no-nb_digibok_2010012210002
59,100619125.0,Prøver af landsmaalet i Norge,"Aasen , Ivar / Werner , Carl C.",,1853.0,Trykt hos Carl C. Werner & Comp.,mul / nno / dan,Norsk språk / Dialekter / Norsk språk / Dialekter / norsk / nynorsk / språk / dialektar / målføre,,dhlab,URN:NBN:no-nb_digibok_2010020312007
60,100629993.0,Fridtjofs Saga : i Omskrift i det nyere Landsmaal,"Aasen , Ivar",Kristiania,1858.0,Selskabet,nno / non,norsk / nynorsk / språk / sagaer / norrøn / litteratur,,dhlab,URN:NBN:no-nb_digibok_2010020312008
61,100629997.0,Beretning om Fante- eller Landstrygerfolket i Norge : Bidrag til Kundskab om de laveste Samfundsforholde,"Sundt , Eilert / Brøgger , A. W.",,1850.0,Trykt i det Wulfsbergske Bogtrykkerie ved A.W. Brøgger,dan,Sosialantropologi / Romfolk / 1800-tallet / tatere / sigøynere / antropologi / sosiologi / omstreifere / fanter,,dhlab,URN:NBN:no-nb_digibok_2010020412003
62,100619161.0,"Digte og Fortællinger, ældre og nyere","Munch , A. ( Andreas )",Christiania,1855.0,Tønsberg,nob,agderforfattere,,dhlab,URN:NBN:no-nb_digibok_2010021603005
63,100664131.0,Norges historie indtil Harald Haarfager : tilligemed en udførlig Fremstilling af Nordmændenes gamle Kulturforhold,"Vig, Ole",Kristiania,1857.0,Malling,nob,norge / historie,,dhlab,URN:NBN:no-nb_digibok_2010021803053
64,100619469.0,Et Kornbaand til Jul,"Schulze , H.",Christiania,1868.0,Cappelen,nob,,,dhlab,URN:NBN:no-nb_digibok_2010052806002
65,100630274.0,Et Kornbaand til Jul : (1869),"Schulze , H.",,1869.0,Cappelen,nob,Fortellinger,,dhlab,URN:NBN:no-nb_digibok_2010052806022
66,100619504.0,Smaastykker,"Schulze , H.",Christiania,1870.0,Cammermeyer,nob,,,dhlab,URN:NBN:no-nb_digibok_2010060806076
67,100630282.0,Om Renligheds-Stellet i Norge : Til Oplysning om Flid og Fremskridt i Landet,"Sundt , Eilert / Abelsted , Jacob Christian",,1869.0,Trykt og forlagt af J. Chr. Abelsted,nor,Hygiene / 1800-tallet / Kulturhistorie / Norge / Hygiene / renslighet / norge / 1800-tallet,,dhlab,URN:NBN:no-nb_digibok_2010060806087
68,100008225.0,Dikting,"Aasen , Ivar",Oslo,1946.0,Gyldendal,mul / nob / nno,nynorsk / norsk / litteratur / 1800-tallet/ii / dikt / norske / skjønnlitteratur / språk,,nb,URN:NBN:no-nb_digibok_2010061806033
69,100630531.0,Nyere Digte,"Welhaven , J. S. ( Johan Sebastian ) / Dahl , Johan ( Johan Fjeldsted )",,1845.0,Forlagt af Johan Dahl,dan,Norsk litteratur / 1800-tallet,,dhlab,URN:NBN:no-nb_digibok_2010100608041
70,100619855.0,Samlede skrifter. Andet bind,"Moe , Jørgen",Kristiania,1877.0,Cammermeyer,nob,,,dhlab,URN:NBN:no-nb_digibok_2010111806002
71,100535717.0,Henrik Ibsens skrifter. 1 : Catilina (1850) ; Catilina (1875) ; Kjæmpehøien (1850) ; Kjæmpehøien (1854) ; Norma ; Sancthansnatten,"Ibsen , Henrik / Ystad , Vigdis / Janss , Christian",Oslo,2005.0,[Universitetet i Oslo],nob,norske / skuespill / 1800-tallet / drama,839.822,nb,URN:NBN:no-nb_digibok_2011040508147
72,100538545.0,Henrik Ibsens skrifter. 12 : Brev 1844-1871,"Ibsen , Henrik / Ystad , Vigdis / Fulsås , Narve / Janss , Christian",Oslo,2005.0,[Universitetet i Oslo],nob,norske / skuespill / 1800-tallet / drama,839.822,nb,URN:NBN:no-nb_digibok_2011040508148
73,100619985.0,Samlede skrifter. B. 1,"Moe , Jørgen",Kristiania,1877.0,Cammermeyer,nob,,,dhlab,URN:NBN:no-nb_digibok_2011051004096
74,100630602.0,Samlede Skrifter. B. 7,"Welhaven , J. S. ( Johan Sebastian )",Kjøbenhavn,1868.0,Gyldendal,nob,,,dhlab,URN:NBN:no-nb_digibok_2011052605099
75,100630603.0,Samlede Skrifter. 8 : [Ewald og de norske digtere] : [fire literær-historiske fremstillinger],"Welhaven , J. S. ( Johan Sebastian )",Kjøbenhavn,1868.0,Gyldendal,nob,,,dhlab,URN:NBN:no-nb_digibok_2011052605100
76,100620037.0,I Brønden og i Tjærnet : Smaahistorier for Børn,"Moe , Jørgen / Moe , Jørgen",Kristiania,1880.0,Alb. Cammermeyer,nob,,,dhlab,URN:NBN:no-nb_digibok_2011052612004
77,100542693.0,Henrik Ibsens skrifter. 4 : Svanhild ; Kjærlighedens komedie ; Kongs-emnerne,"Ibsen , Henrik / Ystad , Vigdis",Oslo,2008.0,[Universitetet i Oslo],nob,norske / skuespill / 1800-tallet / drama,839.82s / 839.822,nb,URN:NBN:no-nb_digibok_2011061708062
78,100542768.0,Henrik Ibsens skrifter. 2 : Gildet paa Solhoug (1856) ; Gildet på Solhaug (1883) ; Rypen i Justedal ; Olaf Liljekrans (1857) ; Olaf Liljekrans (1902) ; Fjeldfuglen ; Olaf Liljekrans (1877/78)],"Ibsen , Henrik / Ystad , Vigdis",Oslo,2006.0,[Universitetet i Oslo],nob,norske / skuespill,839.822,nb,URN:NBN:no-nb_digibok_2011061708155
